"","team","points","duration","ranking"
"1","Manchester City","2084","22022","1"
"2","Bayern München","2020","12032","2"
"3","Real Madrid","1987","12025","3"
"4","Inter Milan","1970","41889","4"
"5","Liverpool FC","1911","01954","5"
"6","Arsenal","1907","41874","6"
"7","Barcelona","1892","01890","7"
"8","Atlético Madrid","1890","111808","8"
"9","RB Leipzig","1869","141792","9"
"10","FC Porto","1865","41840","10"
"11","Bayer Leverkusen","1863","601659","11"
"12","Paris Saint-Germain","1850","61914","12"
"13","Real Sociedad","1848","191748","13"
"14","Borussia Dortmund","1848","41809","14"
"15","SSC Napoli","1836","112012","15"
"16","Juventus","1832","201743","16"
"17","PSV Eindhoven","1815","201732","17"
"18","Aston Villa","1812","1111597","18"
"19","Feyenoord","1810","291704","19"
"20","AC Milan","1799","91873","20"
"21","Benfica","1796","121877","21"
"22","Newcastle United","1796","31784","22"
"23","Girona","1782","2181527","23"
"24","Sporting","1782","101744","24"
"25","Lazio","1781","21781","25"
"26","Tottenham Hotspur","1772","91820","26"
"27","Brighton & Hove Albion","1763","141721","27"
"28","Palmeiras","1760","121826","28"
"29","Atalanta","1754","51785","29"
"30","Brentford FC","1749","701617","30"
"31","Manchester United","1739","101804","31"
"32","Slavia Prague","1739","151705","32"
"33","River Plate","1737","171698","33"
"34","Atlético Mineiro","1732","151699","34"
"35","Real Betis","1731","151805","35"
"36","Red Bull Salzburg","1731","51755","36"
"37","Roma","1730","91778","37"
"38","Lens","1729","81706","38"
"39","Fiorentina","1724","681611","39"
"40","Eintracht Frankfurt","1719","01722","40"
"41","Chelsea FC","1716","291862","41"
"42","Nice","1714","911588","42"
"43","Flora Tallinn","1714","51730","43"
"44","Braga","1713","101689","44"
"45","Flamengo","1713","321855","45"
"46","Athletic Bilbao","1712","41719","46"
"47","Bologna","1712","1171562","47"
"48","Shakhtar Donetsk","1711","181756","48"
"49","FK Red Star Belgrade","1709","161747","49"
"50","VfB Stuttgart","1699","1471548","50"
